Name,Jones (vector)
3_1,{1; 4; 1; 0; 1; -1}
4_1,{-2; 2; 1; -1; 1; -1; 1}
5_1,{2; 7; 1; 0; 1; -1; 1; -1}
5_2,{1; 6; 1; -1; 2; -1; 1; -1}
6_1,{-2; 4; 1; -1; 2; -2; 1; -1; 1}
6_2,{-1; 5; 1; -1; 2; -2; 2; -2; 1}
6_3,{-3; 3; -1; 2; -2; 3; -2; 2; -1}
7_1,{3; 10; 1; 0; 1; -1; 1; -1; 1; -1}
7_2,{1; 8; 1; -1; 2; -2; 2; -1; 1; -1}
7_3,{2; 9; 1; -1; 2; -2; 3; -2; 1; -1}
7_4,{1; 8; 1; -2; 3; -2; 3; -2; 1; -1}
7_5,{2; 9; 1; -1; 3; -3; 3; -3; 2; -1}
7_6,{-1; 6; 1; -2; 3; -3; 4; -3; 2; -1}
7_7,{-4; 3; 1; -2; 3; -4; 4; -3; 3; -1}
8_1,{-2; 6; 1; -1; 2; -2; 2; -2; 1; -1; 1}
8_2,{0; 8; 1; -1; 2; -2; 3; -3; 2; -2; 1}
8_3,{-4; 4; 1; -1; 2; -3; 3; -3; 2; -1; 1}
8_4,{-5; 3; 1; -2; 3; -3; 3; -3; 2; -1; 1}
8_5,{0; 8; 1; -1; 3; -3; 3; -4; 3; -2; 1}
8_6,{-1; 7; 1; -1; 3; -4; 4; -4; 3; -2; 1}
8_7,{-6; 2; -1; 2; -3; 4; -4; 4; -2; 2; -1}
8_8,{-5; 3; -1; 2; -3; 4; -4; 5; -3; 2; -1}
8_9,{-4; 4; 1; -2; 3; -4; 5; -4; 3; -2; 1}
8_10,{-6; 2; -1; 2; -4; 5; -4; 5; -3; 2; -1}
8_11,{-1; 7; 1; -2; 4; -4; 5; -5; 3; -2; 1}
8_12,{-4; 4; 1; -2; 4; -5; 5; -5; 4; -2; 1}
8_13,{-5; 3; -1; 2; -3; 5; -5; 5; -4; 3; -1}
8_14,{-1; 7; 1; -2; 4; -5; 6; -5; 4; -3; 1}
8_15,{2; 10; 1; -2; 5; -5; 6; -6; 4; -3; 1}
8_16,{-6; 2; -1; 3; -5; 6; -6; 6; -4; 3; -1}
8_17,{-4; 4; 1; -3; 5; -6; 7; -6; 5; -3; 1}
8_18,{-4; 4; 1; -4; 6; -7; 9; -7; 6; -4; 1}
8_19,{3; 8; 1; 0; 1; 0; 0; -1}
8_20,{-5; 1; -1; 1; -1; 2; -1; 2; -1}
8_21,{1; 7; 2; -2; 3; -3; 2; -2; 1}
9_1,{4; 13; 1; 0; 1; -1; 1; -1; 1; -1; 1; -1}
9_2,{1; 10; 1; -1; 2; -2; 2; -2; 2; -1; 1; -1}
9_3,{3; 12; 1; -1; 2; -2; 3; -3; 3; -2; 1; -1}
9_4,{2; 11; 1; -1; 2; -3; 4; -3; 3; -2; 1; -1}
9_5,{1; 10; 1; -2; 3; -3; 4; -3; 3; -2; 1; -1}
9_6,{3; 12; 1; -1; 3; -3; 4; -5; 4; -3; 2; -1}
9_7,{2; 11; 1; -1; 3; -4; 5; -5; 4; -3; 2; -1}
9_8,{-3; 6; 1; -2; 3; -4; 5; -5; 5; -3; 2; -1}
9_9,{3; 12; 1; -1; 3; -4; 5; -5; 5; -4; 2; -1}
9_10,{2; 11; 1; -2; 4; -5; 6; -5; 5; -3; 1; -1}
9_11,{-9; 0; -1; 2; -4; 5; -5; 6; -4; 3; -2; 1}
9_12,{-1; 8; 1; -2; 4; -5; 6; -6; 5; -3; 2; -1}
9_13,{2; 11; 1; -2; 4; -5; 7; -6; 5; -4; 2; -1}
9_14,{-6; 3; 1; -2; 3; -5; 6; -6; 6; -4; 3; -1}
9_15,{-8; 1; -1; 2; -4; 6; -6; 7; -6; 4; -2; 1}
9_16,{3; 12; 1; -1; 4; -5; 6; -7; 6; -5; 3; -1}
9_17,{-3; 6; 1; -2; 4; -5; 6; -7; 6; -4; 3; -1}
9_18,{2; 11; 1; -2; 5; -6; 7; -7; 6; -4; 2; -1}
9_19,{-4; 5; 1; -2; 4; -6; 7; -7; 6; -4; 3; -1}
9_20,{0; 9; 1; -2; 4; -5; 7; -7; 6; -5; 3; -1}
9_21,{-8; 1; -1; 2; -4; 6; -7; 8; -6; 5; -3; 1}
9_22,{-3; 6; 1; -2; 4; -6; 7; -7; 7; -5; 3; -1}
9_23,{2; 11; 1; -2; 5; -6; 8; -8; 6; -5; 3; -1}
9_24,{-4; 5; 1; -3; 5; -7; 8; -7; 7; -4; 2; -1}
9_25,{-1; 8; 1; -2; 5; -7; 8; -8; 7; -5; 3; -1}
9_26,{-7; 2; 1; -3; 5; -7; 8; -8; 7; -4; 3; -1}
9_27,{-4; 5; 1; -3; 5; -7; 9; -8; 7; -5; 3; -1}
9_28,{-2; 7; -1; 3; -5; 8; -8; 9; -8; 5; -3; 1}
9_29,{-6; 3; -1; 3; -6; 8; -8; 9; -7; 5; -3; 1}
9_30,{-5; 4; -1; 3; -5; 8; -9; 9; -8; 6; -3; 1}
9_31,{-2; 7; -1; 3; -5; 8; -9; 10; -8; 6; -4; 1}
9_32,{-7; 2; 1; -3; 6; -9; 10; -10; 9; -6; 4; -1}
9_33,{-5; 4; -1; 3; -6; 9; -10; 11; -9; 7; -4; 1}
9_34,{-5; 4; -1; 4; -7; 10; -12; 12; -10; 8; -4; 1}
9_35,{1; 10; 1; -2; 3; -4; 5; -3; 4; -3; 1; -1}
9_36,{-9; 0; -1; 2; -4; 6; -6; 6; -5; 4; -2; 1}
9_37,{-4; 5; 1; -2; 5; -7; 7; -8; 7; -4; 3; -1}
9_38,{2; 11; 1; -3; 7; -8; 10; -10; 8; -6; 3; -1}
9_39,{-8; 1; -1; 3; -6; 8; -9; 10; -8; 6; -3; 1}
9_40,{-2; 7; -1; 5; -8; 11; -13; 13; -11; 8; -4; 1}
9_41,{-6; 3; 1; -3; 5; -7; 8; -8; 8; -5; 3; -1}
9_42,{-3; 3; 1; -1; 1; -1; 1; -1; 1}
9_43,{0; 7; 1; -1; 2; -2; 2; -2; 2; -1}
9_44,{-2; 5; 1; -2; 3; -3; 3; -2; 2; -1}
9_45,{-8; -1; -1; 2; -3; 4; -4; 4; -3; 2}
9_46,{-6; 0; 1; -1; 1; -2; 1; -1; 2}
9_47,{-2; 5; -1; 3; -3; 5; -5; 4; -4; 2}
9_48,{-6; 1; -2; 3; -4; 6; -4; 4; -3; 1}
9_49,{2; 9; 1; -2; 4; -4; 5; -4; 3; -2}
10_1,{-2; 8; 1; -1; 2; -2; 2; -2; 2; -2; 1; -1; 1}
10_2,{1; 11; 1; -1; 2; -2; 3; -3; 3; -3; 2; -2; 1}
10_3,{-4; 6; 1; -1; 2; -3; 4; -4; 3; -3; 2; -1; 1}
10_4,{-5; 5; 1; -2; 3; -3; 4; -4; 3; -3; 2; -1; 1}
10_5,{-9; 1; -1; 2; -3; 4; -5; 5; -4; 4; -2; 2; -1}
10_6,{0; 10; 1; -1; 3; -4; 5; -6; 6; -5; 3; -2; 1}
10_7,{-1; 9; 1; -2; 4; -5; 7; -7; 6; -5; 3; -2; 1}
10_8,{-2; 8; 1; -1; 2; -3; 4; -4; 4; -4; 3; -2; 1}
10_9,{-3; 7; 1; -2; 3; -4; 6; -6; 6; -5; 3; -2; 1}
10_10,{-7; 3; -1; 2; -3; 5; -6; 7; -7; 6; -4; 3; -1}
10_11,{-3; 7; 1; -1; 3; -5; 6; -7; 7; -6; 4; -2; 1}
10_12,{-8; 2; -1; 2; -4; 6; -7; 8; -7; 6; -3; 2; -1}
10_13,{-4; 6; 1; -2; 5; -7; 8; -9; 8; -6; 4; -2; 1}
10_14,{0; 10; 1; -2; 4; -6; 9; -9; 9; -8; 5; -3; 1}
10_15,{-6; 4; -1; 2; -4; 6; -6; 7; -6; 5; -3; 2; -1}
10_16,{-3; 7; 1; -2; 4; -5; 7; -8; 7; -6; 4; -2; 1}
10_17,{-5; 5; -1; 2; -3; 5; -6; 7; -6; 5; -3; 2; -1}
10_18,{-3; 7; 1; -2; 4; -6; 8; -9; 9; -7; 5; -3; 1}
10_19,{-4; 6; -1; 2; -3; 6; -7; 8; -8; 7; -5; 3; -1}
10_20,{-1; 9; 1; -1; 3; -4; 5; -6; 5; -4; 3; -2; 1}
10_21,{0; 10; 1; -2; 4; -5; 7; -7; 7; -6; 3; -2; 1}
10_22,{-4; 6; 1; -2; 4; -6; 8; -8; 7; -6; 4; -2; 1}
10_23,{-8; 2; -1; 2; -4; 7; -9; 10; -9; 8; -5; 3; -1}
10_24,{-1; 9; 1; -2; 5; -7; 9; -9; 8; -7; 4; -2; 1}
10_25,{0; 10; 1; -2; 5; -7; 10; -11; 10; -9; 6; -3; 1}
10_26,{-4; 6; 1; -3; 6; -8; 10; -10; 9; -7; 4; -2; 1}
10_27,{-8; 2; -1; 3; -6; 9; -11; 12; -11; 9; -5; 3; -1}
10_28,{-7; 3; -1; 2; -4; 6; -7; 9; -8; 7; -5; 3; -1}
10_29,{-3; 7; 1; -2; 5; -7; 9; -11; 10; -8; 6; -3; 1}
10_30,{-1; 9; 1; -3; 6; -8; 11; -11; 10; -8; 5; -3; 1}
10_31,{-5; 5; -1; 2; -4; 7; -8; 10; -9; 7; -5; 3; -1}
10_32,{-4; 6; 1; -3; 6; -9; 11; -11; 11; -8; 5; -3; 1}
10_33,{-5; 5; -1; 3; -5; 8; -10; 11; -10; 8; -5; 3; -1}
10_34,{-7; 3; -1; 2; -3; 4; -5; 6; -5; 5; -3; 2; -1}
10_35,{-6; 4; 1; -2; 4; -6; 7; -8; 8; -6; 4; -2; 1}
10_36,{-1; 9; 1; -2; 4; -6; 8; -8; 8; -6; 4; -3; 1}
10_37,{-5; 5; -1; 2; -4; 7; -8; 9; -8; 7; -4; 2; -1}
10_38,{-1; 9; 1; -2; 5; -7; 9; -10; 9; -7; 5; -3; 1}
10_39,{0; 10; 1; -2; 5; -7; 9; -10; 10; -8; 5; -3; 1}
10_40,{-8; 2; -1; 3; -6; 9; -12; 13; -11; 10; -6; 3; -1}
